2025-12-12,Joel,"Merge branch 'main' into gui"
2025-12-12,Joel,"+ some cleanup, small bug fixes and + some java doc"
2025-12-13,Joel,"Update WorldRoad.java"
2025-12-13,Joel,"Revert "Update WorldRoad.java""
2025-12-13,masta of the universe,"Small changes to WVehicle"
2025-12-13,masta of the universe,"Frühjahrsputz"
2025-12-13,spaceglidemasta,"Merge pull request #68 from Spaceglidemasta/sumo-service"
2025-12-13,Joel,"+ route fx:id"
2025-12-13,Joel,"Merge branch 'main' into gui"
2025-12-13,Joel,"+ details panel text color changes for readibility"
2025-12-13,Joel,"Update style.css"
2025-12-13,Joel0457,"Merge pull request #69 from Spaceglidemasta/gui"
2025-12-13,Joel,"finished body controlle rjavadoc"
2025-12-13,Joel,"finished simview2d javadoc"
2025-12-13,Joel,"completed RoadDetailsController"
2025-12-13,Joel,"some traffic light class clean up"
2025-12-13,Joel,"completed javadoc for VehicleDetailsController"
2025-12-13,Joel,"completed tail controller javadoc"
2025-12-13,masta of the universe,"updated the WTrafficLight and WLink class"
2025-12-13,spaceglidemasta,"Merge pull request #70 from Spaceglidemasta/sumo-service"
2025-12-13,Joel,"Merge branch 'main' into gui"
2025-12-13,masta of the universe,"crucial 2 liner"
2025-12-13,spaceglidemasta,"Merge pull request #71 from Spaceglidemasta/sumo-service"
2025-12-13,Joel,"Merge branch 'main' into gui"
2025-12-13,masta of the universe,"BOOGIE WONDERLAND"
2025-12-13,spaceglidemasta,"Merge pull request #72 from Spaceglidemasta/sumo-service"
2025-12-13,Joel,"tarrfic light lane changes"
2025-12-13,Joel,"Merge branch 'main' into gui"
2025-12-13,Joel,"+ WorldTrafficLight stop lines"
2025-12-13,Joel0457,"Merge pull request #73 from Spaceglidemasta/gui"
2025-12-13,Joel,"completed WorldTrafficLight java doc"
2025-12-13,Joel,"Update ColoredIconManager.java"
2025-12-14,Joel,"+ simulation speed modifier cant be <= 0, vehicle details show only last edge from route"
2025-12-14,masta of the universe,"Added a Table Class together with an CSV exporter."
2025-12-14,spaceglidemasta,"Merge pull request #74 from Spaceglidemasta/sumo-service"
2025-12-14,Joel,"completed javadoc for WorldRoad class"
2025-12-14,Joel,"completed WorldVehicle javadoc"
2025-12-14,Joel,"completed javadoc for SimCOntrolController + added full speed mod clamp"
2025-12-14,Joel,"+ javadoc small fix"
2025-12-14,Joel,"Merge branch 'main' into gui"
2025-12-14,masta of the universe,"Traffic Light update"
2025-12-14,spaceglidemasta,"Merge pull request #75 from Spaceglidemasta/sumo-service"
2025-12-14,Joel,"+ some work on adding vehicle injection"
2025-12-14,Joel,"Merge branch 'main' into gui"
2025-12-14,Leon-Uas,"Tidying up comments in ToolbarController"
2025-12-14,Joel,"+ vehicle injection on edges"
2025-12-14,Joel0457,"Merge pull request #76 from Spaceglidemasta/gui"
2025-12-14,Leon-Uas,"Tidied comments in various classes"
2025-12-14,Joel,"+ traffic light state display attempt"
2025-12-14,Joel,"+"
2025-12-14,masta of the universe,"Added @MayReturnNull and Fixed some bugs"
2025-12-14,Joel,"Merge branch 'main' into gui"
2025-12-14,Joel0457,"Merge pull request #78 from Spaceglidemasta/gui"
2025-12-14,masta of the universe,"Merge branch 'main' into sumo-service"
2025-12-14,Leon-Uas,"Merge pull request #77 from Spaceglidemasta/Documentation"
2025-12-14,Joel,"some JavaDoc in WOrldObject class"
2025-12-14,masta of the universe,"Fixed color 'bug' with TLs"
2025-12-14,spaceglidemasta,"Merge branch 'main' into sumo-service"
2025-12-14,spaceglidemasta,"Merge pull request #79 from Spaceglidemasta/sumo-service"
